date,tweet,word_count,tokens,tokens_count
2019-04-01,Honestly rn. His behavior excused much it’s unacceptable I want pizza it’s late idk do.,15,"['Honestly', 'rn.', 'His', 'behavior', 'excused', 'much', 'it’s', 'unacceptable', 'I', 'want', 'pizza', 'it’s', 'late', 'idk', 'do.']",15
2019-04-02,"FAIR The boob aches. Just hanging chest make hurt baddddd Do ever think something really mean long time ago physically pain you? Actual footage me. This cute! Congrats new tat! Help, I’m depressed I’ve wanted eat week mac n cheese. I’m Libra that’s I wanna get out. Heck yes are!!! ❤️ Smort *laughs Pittsburgh* Pissy emailing fun. I got person tho lol YASSSS ❤️🧡💛💚💙💜💖 Both cute!!!",66,"['FAIR', 'The', 'boob', 'aches.', 'Just', 'hanging', 'chest', 'make', 'hurt', 'baddddd', 'Do', 'ever', 'think', 'something', 'really', 'mean', 'long', 'time', 'ago', 'physically', 'pain', 'you?', 'Actual', 'footage', 'me.', 'This', 'cute!', 'Congrats', 'new', 'tat!', 'Help,', 'I’m', 'depressed', 'I’ve', 'wanted', 'eat', 'week', 'mac', 'n', 'cheese.', 'I’m', 'Libra', 'that’s', 'I', 'wanna', 'get', 'out.', 'Heck', 'yes', 'are!!!', '❤️', 'Smort', '*laughs', 'Pittsburgh*', 'Pissy', 'emailing', 'fun.', 'I', 'got', 'person', 'tho', 'lol', 'YASSSS', '❤️🧡💛💚💙💜💖', 'Both', 'cute!!!']",66
2019-04-03,Ok! Had try :)) Are left?!?,6,"['Ok!', 'Had', 'try', ':))', 'Are', 'left?!?']",6
2019-04-04,"I love Zu integral part being, like I’m real as mom. Nah you’re close see great Foods, Rihanna, incredible shoe collection Yeah lol gotta point DnD, k-pop, cute face Bohemian style, record store, AMAZING selfie game. I running late morning, betcher as I still stopped pet teeny tiny Pomeranian puppy way bus stop. PRIORITIES. There’s song help lol I remember first 150 bc I weak. Lol tiny battle monster ClefairyArticuno TogepiHaunterElectabuzzRaichu IvysaurNidorinaExeggcute",72,"['I', 'love', 'Zu', 'integral', 'part', 'being,', 'like', 'I’m', 'real', 'as', 'mom.', 'Nah', 'you’re', 'close', 'see', 'great', 'Foods,', 'Rihanna,', 'incredible', 'shoe', 'collection', 'Yeah', 'lol', 'gotta', 'point', 'DnD,', 'k-pop,', 'cute', 'face', 'Bohemian', 'style,', 'record', 'store,', 'AMAZING', 'selfie', 'game.', 'I', 'running', 'late', 'morning,', 'betcher', 'as', 'I', 'still', 'stopped', 'pet', 'teeny', 'tiny', 'Pomeranian', 'puppy', 'way', 'bus', 'stop.', 'PRIORITIES.', 'There’s', 'song', 'help', 'lol', 'I', 'remember', 'first', '150', 'bc', 'I', 'weak.', 'Lol', 'tiny', 'battle', 'monster', 'ClefairyArticuno', 'TogepiHaunterElectabuzzRaichu', 'IvysaurNidorinaExeggcute']",72
2019-04-05,"This get bed morning tbh Lol certainly lot. Lucy lawless, Rachel weiscz, endless stream stabbing incredible woman Captain Marvel, awesome fashion, happy selfies Kim K reaction pics, reading people within inch life, Kanye I could run sweet art business home j ❤️🧡💛💚💙💜 Also iPhone parasite🦠 emoji??? Hahaha like parasite... wait",50,"['This', 'get', 'bed', 'morning', 'tbh', 'Lol', 'certainly', 'lot.', 'Lucy', 'lawless,', 'Rachel', 'weiscz,', 'endless', 'stream', 'stabbing', 'incredible', 'woman', 'Captain', 'Marvel,', 'awesome', 'fashion,', 'happy', 'selfies', 'Kim', 'K', 'reaction', 'pics,', 'reading', 'people', 'within', 'inch', 'life,', 'Kanye', 'I', 'could', 'run', 'sweet', 'art', 'business', 'home', 'j', '❤️🧡💛💚💙💜', 'Also', 'iPhone', 'parasite🦠', 'emoji???', 'Hahaha', 'like', 'parasite...', 'wait']",50
2019-04-06,"Ppl like get defensive tell watch movie. It’s like I know amount you. I want one hot toy doll real bad rn idk why. Send help, I’m gonna retail therapy death.",31,"['Ppl', 'like', 'get', 'defensive', 'tell', 'watch', 'movie.', 'It’s', 'like', 'I', 'know', 'amount', 'you.', 'I', 'want', 'one', 'hot', 'toy', 'doll', 'real', 'bad', 'rn', 'idk', 'why.', 'Send', 'help,', 'I’m', 'gonna', 'retail', 'therapy', 'death.']",31
2019-04-09,NO WAY I watched Hulu special Nxium day!!!! Basically I die DRAG HER AT MY FUNERAL This bus driver hitting many curb already slammed brake hard I bashed knee seat. Kinda sad didn’t get see Joy Behar commit assault battery live tv,42,"['NO', 'WAY', 'I', 'watched', 'Hulu', 'special', 'Nxium', 'day!!!!', 'Basically', 'I', 'die', 'DRAG', 'HER', 'AT', 'MY', 'FUNERAL', 'This', 'bus', 'driver', 'hitting', 'many', 'curb', 'already', 'slammed', 'brake', 'hard', 'I', 'bashed', 'knee', 'seat.', 'Kinda', 'sad', 'didn’t', 'get', 'see', 'Joy', 'Behar', 'commit', 'assault', 'battery', 'live', 'tv']",42
2019-04-11,I gross dog story tell I asked coworker wanted hear something gross bc thinking NOT THINKING THAT I JUST CAME OUT OF THE BATHROOM AND IT WOULD BE WEIRD I’m mortified want die.,33,"['I', 'gross', 'dog', 'story', 'tell', 'I', 'asked', 'coworker', 'wanted', 'hear', 'something', 'gross', 'bc', 'thinking', 'NOT', 'THINKING', 'THAT', 'I', 'JUST', 'CAME', 'OUT', 'OF', 'THE', 'BATHROOM', 'AND', 'IT', 'WOULD', 'BE', 'WEIRD', 'I’m', 'mortified', 'want', 'die.']",33
2019-04-12,"You energy dedication I posse Seriously. I’m always tired I’m hotel, idc, I’m sleeping. Oh I get there. My Immune system tough. I coworker brings sheet lol two would get along I use theirs. Fuck it. They look GOOD!",39,"['You', 'energy', 'dedication', 'I', 'posse', 'Seriously.', 'I’m', 'always', 'tired', 'I’m', 'hotel,', 'idc,', 'I’m', 'sleeping.', 'Oh', 'I', 'get', 'there.', 'My', 'Immune', 'system', 'tough.', 'I', 'coworker', 'brings', 'sheet', 'lol', 'two', 'would', 'get', 'along', 'I', 'use', 'theirs.', 'Fuck', 'it.', 'They', 'look', 'GOOD!']",39
2019-04-14,He’s truly game lol,4,"['He’s', 'truly', 'game', 'lol']",4
